 ,Area,Mean,IntDen,RawIntDen
123,26,255,6630,6630
124,114,255,29070,29070
125,27,255,6885,6885
126,22,255,5610,5610
127,107,255,27285,27285
128,17,255,4335,4335
129,35,255,8925,8925
130,25,255,6375,6375
131,16,255,4080,4080
132,25,255,6375,6375
133,91,255,23205,23205
134,31,255,7905,7905
135,44,255,11220,11220
136,39,255,9945,9945
137,68,255,17340,17340
138,252,255,64260,64260
139,27,255,6885,6885
140,42,255,10710,10710
141,17,255,4335,4335
142,18,255,4590,4590
143,78,255,19890,19890
144,22,255,5610,5610
145,18,255,4590,4590
146,106,255,27030,27030
147,41,255,10455,10455
148,27,255,6885,6885
149,29,255,7395,7395
150,249,255,63495,63495
151,43,255,10965,10965
152,20,255,5100,5100
153,15,255,3825,3825
154,37,255,9435,9435
155,372,255,94860,94860
156,42,255,10710,10710
157,156,255,39780,39780
158,15,255,3825,3825
159,28,255,7140,7140
160,21,255,5355,5355
161,22,255,5610,5610
162,44,255,11220,11220
163,51,255,13005,13005
164,38,255,9690,9690
165,28,255,7140,7140
166,18,255,4590,4590
167,587,255,149685,149685
168,23,255,5865,5865
169,208,255,53040,53040
170,59,255,15045,15045
171,60,255,15300,15300
172,24,255,6120,6120
173,71,255,18105,18105
174,25,255,6375,6375
175,163,255,41565,41565
176,30,255,7650,7650
177,15,255,3825,3825
178,36,255,9180,9180
179,37,255,9435,9435
180,40,255,10200,10200
181,39,255,9945,9945
182,55,255,14025,14025
183,22,255,5610,5610
184,73,255,18615,18615
185,52,255,13260,13260
186,31,255,7905,7905
187,44,255,11220,11220
188,93,255,23715,23715
189,94,255,23970,23970
190,24,255,6120,6120
191,20,255,5100,5100
192,240,255,61200,61200
193,19,255,4845,4845
194,34,255,8670,8670
195,121,255,30855,30855
196,15,255,3825,3825
197,82,255,20910,20910
198,92,255,23460,23460
199,52,255,13260,13260
200,65,255,16575,16575
201,86,255,21930,21930
202,26,255,6630,6630
203,21,255,5355,5355
204,29,255,7395,7395
205,32,255,8160,8160
206,42,255,10710,10710
207,214,255,54570,54570
208,15,255,3825,3825
209,80,255,20400,20400
210,20,255,5100,5100
211,17,255,4335,4335
212,16,255,4080,4080
213,16,255,4080,4080
214,15,255,3825,3825
215,32,255,8160,8160
216,38,255,9690,9690
217,258,255,65790,65790
218,29,255,7395,7395
219,41,255,10455,10455
220,83,255,21165,21165
221,60,255,15300,15300
222,73,255,18615,18615
223,176,255,44880,44880
224,23,255,5865,5865
225,19,255,4845,4845
226,21,255,5355,5355
227,56,255,14280,14280
228,18,255,4590,4590
229,43,255,10965,10965
230,21,255,5355,5355
231,23,255,5865,5865
232,108,255,27540,27540
233,15,255,3825,3825
234,177,255,45135,45135
235,293,255,74715,74715
236,36,255,9180,9180
237,70,255,17850,17850
238,73,255,18615,18615
239,16,255,4080,4080
240,28,255,7140,7140
241,123,255,31365,31365
242,28,255,7140,7140
243,23,255,5865,5865
244,229,255,58395,58395
245,167,255,42585,42585
246,21,255,5355,5355
247,23,255,5865,5865
248,76,255,19380,19380
249,34,255,8670,8670
250,31,255,7905,7905
251,16,255,4080,4080
252,24,255,6120,6120
253,43,255,10965,10965
254,23,255,5865,5865
255,20,255,5100,5100
256,24,255,6120,6120
