 ,Area,Mean,IntDen,RawIntDen
144,54,255,13770,13770
145,68,255,17340,17340
146,63,255,16065,16065
147,96,255,24480,24480
148,30,255,7650,7650
149,32,255,8160,8160
150,31,255,7905,7905
151,86,255,21930,21930
152,99,255,25245,25245
153,33,255,8415,8415
154,134,255,34170,34170
155,37,255,9435,9435
156,160,255,40800,40800
157,81,255,20655,20655
158,121,255,30855,30855
159,35,255,8925,8925
160,41,255,10455,10455
161,27,255,6885,6885
162,94,255,23970,23970
163,26,255,6630,6630
164,56,255,14280,14280
165,143,255,36465,36465
166,37,255,9435,9435
167,31,255,7905,7905
168,35,255,8925,8925
169,462,255,117810,117810
170,31,255,7905,7905
171,19,255,4845,4845
172,75,255,19125,19125
173,74,255,18870,18870
174,25,255,6375,6375
175,37,255,9435,9435
176,32,255,8160,8160
177,179,255,45645,45645
178,18,255,4590,4590
179,33,255,8415,8415
180,17,255,4335,4335
181,20,255,5100,5100
182,48,255,12240,12240
183,22,255,5610,5610
184,32,255,8160,8160
185,17,255,4335,4335
186,161,255,41055,41055
187,64,255,16320,16320
188,79,255,20145,20145
189,160,255,40800,40800
190,212,255,54060,54060
191,37,255,9435,9435
192,70,255,17850,17850
193,238,255,60690,60690
194,123,255,31365,31365
195,26,255,6630,6630
196,23,255,5865,5865
197,18,255,4590,4590
198,68,255,17340,17340
199,45,255,11475,11475
200,24,255,6120,6120
201,19,255,4845,4845
202,49,255,12495,12495
203,45,255,11475,11475
204,45,255,11475,11475
205,36,255,9180,9180
206,35,255,8925,8925
207,31,255,7905,7905
208,32,255,8160,8160
209,157,255,40035,40035
210,104,255,26520,26520
211,87,255,22185,22185
212,24,255,6120,6120
213,23,255,5865,5865
214,32,255,8160,8160
215,87,255,22185,22185
216,534,255,136170,136170
217,58,255,14790,14790
218,44,255,11220,11220
219,36,255,9180,9180
220,36,255,9180,9180
221,71,255,18105,18105
222,310,255,79050,79050
223,22,255,5610,5610
224,19,255,4845,4845
225,35,255,8925,8925
226,45,255,11475,11475
227,23,255,5865,5865
228,15,255,3825,3825
229,65,255,16575,16575
230,15,255,3825,3825
231,44,255,11220,11220
232,32,255,8160,8160
233,29,255,7395,7395
234,42,255,10710,10710
235,16,255,4080,4080
236,135,255,34425,34425
237,25,255,6375,6375
238,36,255,9180,9180
239,21,255,5355,5355
240,43,255,10965,10965
241,36,255,9180,9180
242,20,255,5100,5100
243,28,255,7140,7140
244,56,255,14280,14280
245,26,255,6630,6630
246,57,255,14535,14535
247,38,255,9690,9690
248,38,255,9690,9690
249,18,255,4590,4590
250,30,255,7650,7650
251,66,255,16830,16830
252,40,255,10200,10200
253,60,255,15300,15300
254,158,255,40290,40290
255,55,255,14025,14025
256,27,255,6885,6885
257,18,255,4590,4590
258,17,255,4335,4335
259,32,255,8160,8160
260,17,255,4335,4335
261,16,255,4080,4080
262,81,255,20655,20655
263,63,255,16065,16065
264,134,255,34170,34170
265,58,255,14790,14790
266,34,255,8670,8670
267,36,255,9180,9180
268,31,255,7905,7905
269,46,255,11730,11730
270,84,255,21420,21420
271,54,255,13770,13770
272,28,255,7140,7140
273,48,255,12240,12240
274,38,255,9690,9690
275,28,255,7140,7140
276,167,255,42585,42585
277,29,255,7395,7395
278,59,255,15045,15045
279,48,255,12240,12240
280,38,255,9690,9690
281,46,255,11730,11730
282,39,255,9945,9945
283,95,255,24225,24225
284,193,255,49215,49215
285,28,255,7140,7140
286,156,255,39780,39780
287,226,255,57630,57630
288,23,255,5865,5865
289,29,255,7395,7395
290,16,255,4080,4080
291,60,255,15300,15300
292,44,255,11220,11220
293,25,255,6375,6375
294,40,255,10200,10200
295,24,255,6120,6120
296,39,255,9945,9945
